เลขบัตรประชาชน,คำนำหน้าชื่อ,ชื่อ,นามสกุล,วันเกิด,ประเภทอาชีพ,หมายเลขโทรศัพท์ติดต่อ,สอบถาม-สินเชื่อ,รับเรื่องยื่นกู้,สอบถาม-การเงิน,รายได้ต่อเดือน,หมายเหตุ,มาเป็นลูกค้ากับธนาคาร
110101201705842000,นางสาว,กฤตยา,วิรุษดา,2 ต.ค. 90,admin.,082-979-4596,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,,,"16,249",,yes
110101201705835000,นางสาว,จันทิมา,ขวัญแก้ว,17 ต.ค. 92,retired,094-192-6698,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,,"14,457",,no
110101201706052000,นางสาว,ปทุมพร,มาริษา,15 ธ.ค. 95,blue-collar,063-962-4698,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,ระยะเวลาการกู้สูงสุดกี่ปี,,"15,034",,yes
110101201706000000,นางสาว,ภัทรพร,ชฎารัตน์,21 เม.ย. 94,management,094-698-2269,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,,"9,024",,yes
,นางสาว,ปทุมทิพย์,กัญญารัตน์,25 ม.ค. 93,services,081-459-4246,,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"21,561",,yes
110101201706076000,นางสาว,เกศกนก,พิชชาพร,29 ก.ย. 98,management,09-2929-7192,,,,"18,487",,yes
110101201706114000,นางสาว,นัฐริกา,ญาณิกา,16 มี.ค. 95,management,085-926-9941,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,,"18,672",,no
110101201706151000,นางสาว,จุฑาทิพย์,ณฐมน,19 ก.ย. 96,blue-collar,086-366-2964,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,,"12,936",,yes
110101201706189000,นางสาว,พุธธิญา,อรกัญญา,25 พ.ค. 90,technician,09-4449-1691,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,,"18,098",,yes
110101201706227000,นางสาว,มธุรดา,มิวธิกา,24 ต.ค. 97,technician,083-649-6551,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,,"17,474",,yes
110101201706265000,นางสาว,สุธินี,เจนจิรา,25 ก.ค. 98,management,081-569-8997,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,,"18,130",,yes
110101201706303000,นางสาว,ศิริพร,รตา,5 พ.ค. 97,blue-collar,081-446-2914,,,,"15,678",,no
110101201706340000,นางสาว,จุฑามณี,ศุทธินี,25 ม.ค. 96,blue-collar,09-2229-9619,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,,"18,217",,yes
110101201706378000,นางสาว,เบญจวรรณ,อ้อยขวัญ,6 ม.ค. 95,entrepreneur,082-496-2462,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,,"19,399",,yes
110101201706416000,นางสาว,โสรญา,ปริญญา,22 ธ.ค. 96,admin.,083-592-8269,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,,"17,316",,yes
110101201706454000,นางสาว,วรดา,สุภาพร,2 ม.ค. 90,blue-collar,082-494-4535,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,,"18,287",,no
110101201706492000,นางสาว,สายชล,ศิริลักษณ์,12 เม.ย. 91,technician,082-496-6995,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,,"13,944",,yes
110101201706529000,นางสาว,ชไมพร,อุไรวรรณ,4 พ.ย. 97,technician,089-662-9597,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,,"21,660",,no
110101201706567000,นางสาว,ปนัดดา,ทิพวรรณ,23 ก.ย. 98,technician,081-496-9946,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,,"16,767",,yes
110101201706605000,นางสาว,พิชญาภัค,ธัญนันท์,22 ม.ค. 97,blue-collar,096-392-9949,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,,"15,794",,yes
110101201706643000,นางสาว,ชลธร,กิฐติญา,12 มิ.ย. 92,admin.,094-619-1916,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,,"15,975",,yes
110101201706681000,นางสาว,สุนิสา,ณัฐริกา,12 ธ.ค. 90,management,086-994-2298,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,,"26,915",,no
110101201706718000,นางสาว,วราภรณ์,กัญญารัตน์,3 ก.ค. 97,self-employed,093-941-4292,,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"41,002",,no
110101201706756000,นางสาว,อรไท,เยาวลักษณ์,25 ก.ย. 97,retired,085-926-6298,,ผู้กู้ต้องมีคุณสมบัติอย่างไร,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"45,572",,yes
110101201706794000,นางสาว,พุทธชาติ,พัชนี,6 ธ.ค. 92,technician,098-959-7928,,ผู้กู้ต้องมีคุณสมบัติอย่างไร,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"25,457",,yes
110101201706832000,นางสาว,ปริยากร,จิราวรรณ์,28 พ.ค. 94,blue-collar,062-926-4991,,ผู้กู้ต้องมีคุณสมบัติอย่างไร,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"36,884",,no
110101201706870000,นาย,วิชาญ,วรรรณพร ,23 ก.พ. 99,retired,084-149-6291,,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"41,057",,yes
110101201706907000,นางสาว,ปรารถนา,เกียรติวงศ์,30 ต.ค. 91,management,096-169-4464,,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"26,601",,no
110101201706945000,นางสาว,อมลวรรณ,สุริเยนต์,16 ก.พ. 94,services,062-694-4936,,ระยะเวลาการกู้สูงสุดกี่ปี,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"28,379",,no
110101201706983000,นางสาว,กรรณ์ขนิษฐา,วัชรพงษ์,8 มี.ค. 95,admin.,081-698-9993,,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"23,351",,no
110101201707021000,นางสาว,ศุภัชฌา,พยุงศักดิ์,24 ม.ค. 96,blue-collar,083-599-9364,,,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"22,955",,yes
110101201707059000,นางสาว,สุภาวดี,พรพล,25 มิ.ย. 92,services,085-354-6426,,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"26,112",,yes
110101201707096000,นางสาว,ญาณิศา,อติคุณ,26 ก.พ. 97,technician,081-569-4299,,,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"22,059",,yes
110101201707134000,นางสาว,สุพัตรา,วรยุทธ,8 พ.ย. 95,management,082-466-1661,,ระยะเวลาการกู้สูงสุดกี่ปี,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"29,413",,no
110101201707172000,นางสาว,ชลดา,ธนพล,25 ก.ย. 92,technician,081-559-2829,,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"27,257",,no
110101201707210000,นางสาว,เนตรนภา,ณัฐวุฒิ,12 ก.ย. 92,management,081-569-4596,,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"30,315",,no
110101201707248000,นางสาว,ทักษิณา,ศุภกิจ,11 ส.ค. 95,entrepreneur,096-361-4622,,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"36,024",,yes
110101201707285000,นางสาว,เจนจิรา,สหพล,6 ม.ค. 97,management,083-622-8226,,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"25,333",,yes
110101201707323000,นางสาว,อรอุมา,กนกพล,30 เม.ย. 98,services,091-536-2698,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"27,555",,yes
110101201707361000,นางสาว,สุนันทิณี,ณัฏฐณิชา,24 ม.ค. 93,retired,096-629-4697,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"24,166",,yes
110101201707399000,นางสาว,อัจฉรี,ภาณุมาส,28 เม.ย. 93,management,082-445-1455,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"23,555",,no
110101201707437000,นางสาว,ศิริวรรณ,สุกัญญา,9 ธ.ค. 98,blue-collar,081-414-2826,,,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"26,953",,yes
110101201707474000,นางสาว,วนิดา,ชลิดา,29 มิ.ย. 95,technician,096-362-9224,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"19,590",,no
110101201707512000,นางสาว,ณัฏฐณิชา,ปนัดดา,26 ก.ค. 99,blue-collar,085-596-4997,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"18,884",,no
110101201707550000,นางสาว,กนกพร,ประกายมาศ,19 ต.ค. 95,unemployed,092-991-9461,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,ระยะเวลาการกู้สูงสุดกี่ปี,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"15,786",,yes
110101201707588000,นางสาว,สุธาทิพย์,สุกัยดา,29 ก.ค. 95,admin.,081-569-4226,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"40,347",,yes
110101201707626000,นางสาว,วารุณี,ชลธิชา,29 พ.ย. 91,retired,093-551-6144,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ผู้กู้ต้องมีคุณสมบัติอย่างไร,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"29,347",,no
110101201707663000,นางสาว,ทัศนีย์,รุธิรา,3 ก.พ. 91,admin.,081-565-9441,,,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"18,310",,yes
110101201707701000,นางสาว,เย็นฤดี,ภัทรชนัน,24 ธ.ค. 98,services,082-466-9287,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"26,431",,no
110101201707739000,นางสาว,พิศพิไล,นูรไอดา,31 ธ.ค. 91,management,063-998-9226,,,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"23,523",,no
